名称,数目,分类,时间
开始时间,101.5636364,TRAFFIC：开始时间,2022/4/21 9:48
应用名称,40,TRAFFIC：应用名称,2022/8/2 12:12
应用名称,78.36363636,TRAFFIC：应用名称,2022/9/21 23:49
应用名称,99.45454545,TRAFFIC：应用名称,2022/4/1 21:28
62VIP,59,EMS：62VIP,2022/8/8 16:22
62VIP,65.70909091,EMS：62VIP,2022/4/27 3:23
62VIP,86.8,EMS：62VIP,2022/9/12 18:17
cc,50,EMS：cc,2022/8/8 9:48
cc,63.6,EMS：cc,2022/8/20 20:20
cc,84.69090909,EMS：cc,2022/8/11 22:48
会员中心,5,EMS：会员中心,2022/5/10 6:31
会员中心,67.81818182,EMS：会员中心,2022/1/16 19:28
会员中心,88.90909091,EMS：会员中心,2022/6/22 1:57
结束时间,19,EMS：结束时间,2022/6/14 22:41
结束时间,82.58181818,EMS：结束时间,2022/2/28 11:13
结束时间,103.6727273,EMS：结束时间,2022/6/11 5:57
维护类型,78,EMS：维护类型,2022/6/6 6:33
维护类型,74.14545455,EMS：维护类型,2022/7/15 1:27
维护类型,95.23636364,EMS：维护类型,2022/4/27 21:10
背景图（新）,75,Fire：背景图（新）,2022/3/16 8:09
背景图（新）,72.03636364,Fire：背景图（新）,2022/6/18 10:08
背景图（新）,93.12727273,Fire：背景图（新）,2022/4/9 9:28
修改,89,Fire：修改,2022/8/11 4:06
修改,76.25454545,Fire：修改,2022/4/24 4:56
修改,97.34545455,Fire：修改,2022/9/7 1:51
背景图（老）,14,TRAFFIC：背景图（老）,2022/4/15 19:27
背景图（老）,69.92727273,TRAFFIC：背景图（老）,2022/7/21 2:36
背景图（老）,91.01818182,TRAFFIC：背景图（老）,2022/7/25 11:52
开始时间,91,TRAFFIC：开始时间,2022/5/3 20:31
开始时间,80.47272727,TRAFFIC：开始时间,2022/5/30 17:54
开始时间,101.5636364,TRAFFIC：开始时间,2022/3/10 21:15
应用名称,40,TRAFFIC：应用名称,2022/3/20 13:26
应用名称,78.36363636,TRAFFIC：应用名称,2022/7/20 17:43
应用名称,99.45454545,TRAFFIC：应用名称,2022/6/8 9:13
62VIP,59,EMS：62VIP,2022/5/25 0:17
62VIP,65.70909091,EMS：62VIP,2022/5/14 19:04
62VIP,86.8,EMS：62VIP,2022/1/7 17:29
cc,50,EMS：cc,2022/6/27 0:56
cc,63.6,EMS：cc,2022/9/29 12:12
cc,84.69090909,EMS：cc,2022/4/23 15:33
会员中心,5,EMS：会员中心,2022/6/9 15:15
会员中心,67.81818182,EMS：会员中心,2022/4/7 6:00
会员中心,88.90909091,EMS：会员中心,2022/1/15 21:51
结束时间,19,EMS：结束时间,2022/5/28 0:29
结束时间,82.58181818,EMS：结束时间,2022/9/24 4:39
结束时间,103.6727273,EMS：结束时间,2022/1/22 21:53
维护类型,78,EMS：维护类型,2022/7/25 17:38
维护类型,74.14545455,EMS：维护类型,2022/9/24 16:51
维护类型,95.23636364,EMS：维护类型,2022/8/3 22:17
背景图（新）,75,Fire：背景图（新）,2022/2/8 17:49
背景图（新）,72.03636364,Fire：背景图（新）,2022/8/24 14:00
背景图（新）,93.12727273,Fire：背景图（新）,2022/6/4 8:20
修改,89,Fire：修改,2022/6/14 23:32
修改,76.25454545,Fire：修改,2022/1/3 3:51
修改,97.34545455,Fire：修改,2022/5/5 13:53
背景图（老）,14,TRAFFIC：背景图（老）,2022/3/25 18:04
背景图（老）,69.92727273,TRAFFIC：背景图（老）,2022/5/14 6:46
背景图（老）,91.01818182,TRAFFIC：背景图（老）,2022/6/12 7:09
开始时间,91,TRAFFIC：开始时间,2022/1/14 22:49
开始时间,80.47272727,TRAFFIC：开始时间,2022/9/12 14:58
开始时间,101.5636364,TRAFFIC：开始时间,2022/7/2 13:03
应用名称,40,TRAFFIC：应用名称,2022/1/11 16:16
应用名称,78.36363636,TRAFFIC：应用名称,2022/2/25 0:39
应用名称,99.45454545,TRAFFIC：应用名称,2022/9/9 3:13
